,transactions,top_100_percent,active_addresses,median_transaction_value,sent_addresses,difficulty,block_size,hashrate,mining_profitability,date,tweets,send_usd,av_transaction_size,fee_reward,confirmation_time,google_trends,median_transaction_size,av_transaction_value,market_cap,full_name,coin
195,,,,,,,,,,2014/10/21,11,,,,,,,,574721,unobtanium,unobtanium
196,,,,,,,,,,2014/10/22,27,,,,,,,,588728,unobtanium,unobtanium
197,,,,,,,,,,2014/10/23,6,,,,,,,,547016,unobtanium,unobtanium
198,,,,,,,,,,2014/10/24,5,,,,,,,,573334,unobtanium,unobtanium
199,,,,,,,,,,2014/10/25,6,,,,,,,,592542,unobtanium,unobtanium
200,,,,,,,,,,2014/10/26,8,,,,,,,,572962,unobtanium,unobtanium
201,,,,,,,,,,2014/10/27,3,,,,,,,,551138,unobtanium,unobtanium
202,,,,,,,,,,2014/10/28,14,,,,,,,,531320,unobtanium,unobtanium
203,,,,,,,,,,2014/10/29,14,,,,,,,,492714,unobtanium,unobtanium
204,,,,,,,,,,2014/10/30,9,,,,,,,,479914,unobtanium,unobtanium
205,,,,,,,,,,2014/10/31,14,,,,,,,,501587,unobtanium,unobtanium
206,,,,,,,,,,2014/11/01,9,,,,,,,,482208,unobtanium,unobtanium
207,,,,,,,,,,2014/11/02,8,,,,,,,,474129,unobtanium,unobtanium
208,,,,,,,,,,2014/11/03,7,,,,,,,,471160,unobtanium,unobtanium
209,,,,,,,,,,2014/11/04,27,,,,,,,,478853,unobtanium,unobtanium
210,,,,,,,,,,2014/11/05,9,,,,,,,,497360,unobtanium,unobtanium
211,,,,,,,,,,2014/11/06,3,,,,,,,,505021,unobtanium,unobtanium
212,,,,,,,,,,2014/11/07,10,,,,,,,,520990,unobtanium,unobtanium
213,,,,,,,,,,2014/11/08,5,,,,,,,,513797,unobtanium,unobtanium
214,,,,,,,,,,2014/11/09,5,,,,,,,,516363,unobtanium,unobtanium
215,,,,,,,,,,2014/11/10,8,,,,,,,,531752,unobtanium,unobtanium
216,,,,,,,,,,2014/11/11,7,,,,,,,,547960,unobtanium,unobtanium
217,,,,,,,,,,2014/11/12,6,,,,,,,,580068,unobtanium,unobtanium
218,,,,,,,,,,2014/11/13,19,,,,,,,,658219,unobtanium,unobtanium
219,,,,,,,,,,2014/11/14,4,,,,,,,,600710,unobtanium,unobtanium
220,,,,,,,,,,2014/11/15,9,,,,,,,,580623,unobtanium,unobtanium
221,,,,,,,,,,2014/11/16,10,,,,,,,,584119,unobtanium,unobtanium
222,,,,,,,,,,2014/11/17,8,,,,,,,,597646,unobtanium,unobtanium
223,,,,,,,,,,2014/11/18,2,,,,,,,,572928,unobtanium,unobtanium
224,,,,,,,,,,2014/11/19,4,,,,,,,,571130,unobtanium,unobtanium
225,,,,,,,,,,2014/11/20,7,,,,,,,,547698,unobtanium,unobtanium
226,,,,,,,,,,2014/11/21,14,,,,,,,,529266,unobtanium,unobtanium
227,,,,,,,,,,2014/11/22,7,,,,,,,,532771,unobtanium,unobtanium
228,,,,,,,,,,2014/11/23,15,,,,,,,,503257,unobtanium,unobtanium
229,,,,,,,,,,2014/11/24,11,,,,,,,,487169,unobtanium,unobtanium
230,,,,,,,,,,2014/11/25,8,,,,,,,,506151,unobtanium,unobtanium
231,,,,,,,,,,2014/11/26,5,,,,,,,,502367,unobtanium,unobtanium
232,,,,,,,,,,2014/11/27,12,,,,,,,,510766,unobtanium,unobtanium
