,date,transactions,block_size,active_addresses,av_transaction_size,confirmation_time,difficulty,sent_addresses,median_transaction_size,median_transaction_value,av_transaction_value,send_usd,google_trends,hashrate,fee_reward,top_100_percent,mining_profitability,market_cap,tweets,full_name,coin
156,2009/06/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,elacoin,elacoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,elacoin,elacoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,elacoin,elacoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,elacoin,elacoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,elacoin,elacoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,elacoin,elacoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,elacoin,elacoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,elacoin,elacoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,elacoin,elacoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,elacoin,elacoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,elacoin,elacoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,elacoin,elacoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,elacoin,elacoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,elacoin,elacoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,elacoin,elacoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,elacoin,elacoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,elacoin,elacoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,elacoin,elacoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,elacoin,elacoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,elacoin,elacoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,elacoin,elacoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,elacoin,elacoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,elacoin,elacoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,elacoin,elacoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,elacoin,elacoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,elacoin,elacoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,elacoin,elacoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,elacoin,elacoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,elacoin,elacoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,elacoin,elacoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,elacoin,elacoin
