,date,transactions,difficulty,top_100_percent,av_transaction_value,median_transaction_value,send_usd,confirmation_time,sent_addresses,google_trends,market_cap,active_addresses,hashrate,median_transaction_size,fee_reward,block_size,mining_profitability,av_transaction_size,tweets,full_name,coin
149,2009/06/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
150,2009/06/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
151,2009/06/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
152,2009/06/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
153,2009/06/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
154,2009/06/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
155,2009/06/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
156,2009/06/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
157,2009/06/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
158,2009/06/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
159,2009/06/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
160,2009/06/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
161,2009/06/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
162,2009/06/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
163,2009/06/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
164,2009/06/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
165,2009/06/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,ybcoin,ybcoin
