,date,transactions,hashrate,sent_addresses,difficulty,send_usd,mining_profitability,av_transaction_size,av_transaction_value,median_transaction_size,google_trends,median_transaction_value,top_100_percent,block_size,fee_reward,active_addresses,tweets,confirmation_time,market_cap,full_name,coin
148,2018/04/09,1316,35774011,2195,2329468,7536158,,,5727,,,244.665,,6782,,5338,40,8.78,708377711,bitcoin gold,btg
149,2018/04/10,1572,36857941,2026,2289166,3783118,,,2407,,,446.722,,24818,,6732,50,8.045,691331864,bitcoin gold,btg
150,2018/04/11,3011,38423743,2299,2503783,6181053,,,2053,,,1.702,,107672,,27829,47,10.213,706357827,bitcoin gold,btg
151,2018/04/12,1703,33494669,2481,2287197,66209558,,,38878,,,340.714,,9514,,5923,42,9.412,739597102,bitcoin gold,btg
152,2018/04/13,1758,32962519,2643,2185011,6676179,,,3798,,,286.372,,7924,,5822,39,8.324,796504383,bitcoin gold,btg
153,2018/04/14,1426,35019000,2138,2257803,2474975,,,1736,,,138.844,,8232,,5584,56,9.536,782067800,bitcoin gold,btg
154,2018/04/15,1387,31469944,2175,2108592,3258400,,,2349,,,225.999,,6533,,5312,44,8.229,815986556,bitcoin gold,btg
155,2018/04/16,2207,40443360,2961,2498505,7008905,,,3176,,,210.064,,27629,,7508,89,9.29,882355279,bitcoin gold,btg
156,2018/04/17,4006,37394959,2732,2449051,7416317,,,1851,,,2.014,,279303,,58991,69,9.114,888286727,bitcoin gold,btg
157,2018/04/18,4046,35388568,2927,2367926,17602623,,,4351,,,1.946,,303524,,49822,54,7.956,909489508,bitcoin gold,btg
158,2018/04/19,3010,42500277,3370,2574652,5969695,,,1983,,,69.463,,220825,,22009,78,9.796,974159312,bitcoin gold,btg
159,2018/04/20,2082,38685521,3453,2483032,8826691,,,4240,,,508.686,,13497,,8499,68,9.664,1083673974,bitcoin gold,btg
160,2018/04/21,2049,38301424,3284,2412895,9543894,,,4658,,,307.431,,11832,,8192,73,7.784,1120299465,bitcoin gold,btg
161,2018/04/22,1691,45065751,2911,2847843,6791411,,,4016,,,249.727,,10899,,6899,95,9.931,1133389243,bitcoin gold,btg
162,2018/04/23,2643,39802671,4215,2755828,31835581,,,12045,,,561.397,,31572,,12109,65,8.675,1244754650,bitcoin gold,btg
163,2018/04/24,3376,45650377,4988,3018420,44114459,,,13067,,,729.446,,23481,,15092,91,9.796,1474850362,bitcoin gold,btg
164,2018/04/25,4088,41624378,3801,2700543,16175680,,,3957,,,64.847,,96502,,27304,58,8.521,1278891197,bitcoin gold,btg
165,2018/04/26,2090,41913477,3399,2655468,9389646,,,4493,,,449.363,,20883,,8679,56,8.834,1248735804,bitcoin gold,btg
166,2018/04/27,2139,40906817,3466,2570617,10031102,,,4690,,,464.737,,32543,,11485,74,8.623,1291436578,bitcoin gold,btg
167,2018/04/28,1809,43608822,3073,2600799,7050747,,,3898,,,301.968,,18188,,8264,12,8.324,1284192634,bitcoin gold,btg
168,2018/04/29,1920,40541202,3242,2624028,9779690,,,5094,,,422.84,,20935,,8239,242,8.372,1316645181,bitcoin gold,btg
169,2018/04/30,1982,42351901,3348,2669961,11169690,,,5636,,,526.027,,19777,,8411,56,8.944,1281234566,bitcoin gold,btg
170,2018/05/01,1623,36322000,2767,2432139,6162958,,,3797,,,325.266,,16849,,7142,54,8.571,1194558926,bitcoin gold,btg
171,2018/05/02,1862,43267107,3235,2528745,8457976,,,4542,,,459.487,,19746,,8737,84,8.675,1254913883,bitcoin gold,btg
172,2018/05/03,2130,41738693,3624,2647286,11768110,,,5525,,,530.137,,20775,,8438,52,9.057,1291632689,bitcoin gold,btg
173,2018/05/04,3970,38318828,3085,2553244,23491270,,,5917,,,2.837,,152128,,33339,43,8.78,1284232775,bitcoin gold,btg
174,2018/05/05,4419,39109785,3161,2410557,35594210,,,8055,,,2.668,,133283,,31005,31,8.421,1332156281,bitcoin gold,btg
175,2018/05/06,2552,39714549,3040,2523629,14125895,,,5535,,,125.83,,54161,,17510,27,8.421,1328759098,bitcoin gold,btg
176,2018/05/07,1504,42280436,3053,2530722,7494530,,,4983,,,352.625,,16849,,8017,71,8.78,1246970407,bitcoin gold,btg
177,2018/05/08,1572,39457287,2789,2546316,10596022,,,6740,,,225.122,,17377,,6075,83,9.474,1230161330,bitcoin gold,btg
178,2018/05/09,1763,36299724,3080,2393452,11888587,,,6743,,,259.04,,21674,,7853,86,9,1174101489,bitcoin gold,btg
179,2018/05/10,1586,38501735,2974,2479385,10606725,,,6688,,,417.937,,17900,,7122,216,9.29,1168522541,bitcoin gold,btg
180,2018/05/11,1856,35406046,3507,2190076,12588151,,,6782,,,598.87,,17211,,7896,100,7.461,1016716118,bitcoin gold,btg
181,2018/05/12,1605,35897413,3024,2180871,10584313,,,6595,,,377.267,,15660,,6787,325,8.276,955752013,bitcoin gold,btg
182,2018/05/13,1304,34503572,2786,2127246,7416400,,,5687,,,242.071,,13700,,5461,115,8.521,981616787,bitcoin gold,btg
183,2018/05/14,2993,34742588,3096,2176315,7643863,,,2554,,,8.264,,124401,,26777,97,9.412,980734490,bitcoin gold,btg
184,2018/05/15,5188,29146719,3473,1977335,27269219,,,5256,,,1.778,,292237,,51767,77,10,1017790589,bitcoin gold,btg
185,2018/05/16,4133,29794372,3123,1960412,21517026,,,11757,,,3.544,,396236,,74920,47,7.701,958493080,bitcoin gold,btg
186,2018/05/17,2097,37112116,2593,2348654,25943301,,,22345,,,53.464,,130947,,14945,48,10.07,962131089,bitcoin gold,btg
187,2018/05/18,3930,33420364,2268,2403022,15778037,,,8378,,,1.953,,427601,,54303,24,9.231,902480750,bitcoin gold,btg
188,2018/05/19,2808,26028696,1501,1701317,3844827,,,1674,,,1.9,,298759,,66889,27,9.29,908399917,bitcoin gold,btg
189,2018/05/20,802,28137825,1423,1800112,3528540,,,4400,,,273.903,,4182,,3660,23,9,935405339,bitcoin gold,btg
190,2018/05/21,929,30697628,1692,1873878,2659306,,,2863,,,385.333,,5670,,4301,62,8.889,933239216,bitcoin gold,btg
191,2018/05/22,5353,28110146,1723,1789364,2301629,,,429.97,,,1.255,,555462,,97660,78,8.045,892967051,bitcoin gold,btg
192,2018/05/23,5916,25913060,1819,1654534,2850621,,,481.871,,,1.088,,739259,,121809,192,9.231,814138824,bitcoin gold,btg
193,2018/05/24,3654,23796352,1698,1596076,3258292,,,891.706,,,0.784,,393178,,60146,275,9,787738280,bitcoin gold,btg
194,2018/05/25,3325,24987342,1748,1596312,7144667,,,2149,,,0.73,,348643,,92883,197,9,788104919,bitcoin gold,btg
195,2018/05/26,5454,30476548,1508,1756438,7009017,,,1285,,,0.616,,646159,,156687,115,8.571,773553046,bitcoin gold,btg
196,2018/05/27,1056,29093733,1515,1900902,974823,,,923.128,,,18.03,,49285,,24146,137,9,755253880,bitcoin gold,btg
197,2018/05/28,1098,23622927,1867,1628643,2374686,,,2163,,,196.174,,5111,,3955,103,8.727,722860495,bitcoin gold,btg
198,2018/05/29,1043,28356546,1778,1787752,3629475,,,3480,,,100.543,,5417,,3626,170,9.057,714701040,bitcoin gold,btg
199,2018/05/30,1091,24508249,1898,1633594,2300601,,,2109,,,140.106,,6973,,3801,83,10.07,735642328,bitcoin gold,btg
