,av_transaction_size,hashrate,date,difficulty,median_transaction_value,sent_addresses,market_cap,av_transaction_value,transactions,confirmation_time,block_size,top_100_percent,active_addresses,median_transaction_size,google_trends,fee_reward,mining_profitability,tweets,send_usd,full_name,coin
219,,,2009/08/10,,,,,,,,,,,,,,,,,namecoin,nmc
220,,,2009/08/11,,,,,,,,,,,,,,,,,namecoin,nmc
221,,,2009/08/12,,,,,,,,,,,,,,,,,namecoin,nmc
222,,,2009/08/13,,,,,,,,,,,,,,,,,namecoin,nmc
223,,,2009/08/14,,,,,,,,,,,,,,,,,namecoin,nmc
224,,,2009/08/15,,,,,,,,,,,,,,,,,namecoin,nmc
225,,,2009/08/16,,,,,,,,,,,,,,,,,namecoin,nmc
226,,,2009/08/17,,,,,,,,,,,,,,,,,namecoin,nmc
227,,,2009/08/18,,,,,,,,,,,,,,,,,namecoin,nmc
228,,,2009/08/19,,,,,,,,,,,,,,,,,namecoin,nmc
229,,,2009/08/20,,,,,,,,,,,,,,,,,namecoin,nmc
230,,,2009/08/21,,,,,,,,,,,,,,,,,namecoin,nmc
231,,,2009/08/22,,,,,,,,,,,,,,,,,namecoin,nmc
232,,,2009/08/23,,,,,,,,,,,,,,,,,namecoin,nmc
233,,,2009/08/24,,,,,,,,,,,,,,,,,namecoin,nmc
234,,,2009/08/25,,,,,,,,,,,,,,,,,namecoin,nmc
235,,,2009/08/26,,,,,,,,,,,,,,,,,namecoin,nmc
236,,,2009/08/27,,,,,,,,,,,,,,,,,namecoin,nmc
237,,,2009/08/28,,,,,,,,,,,,,,,,,namecoin,nmc
238,,,2009/08/29,,,,,,,,,,,,,,,,,namecoin,nmc
239,,,2009/08/30,,,,,,,,,,,,,,,,,namecoin,nmc
240,,,2009/08/31,,,,,,,,,,,,,,,,,namecoin,nmc
241,,,2009/09/01,,,,,,,,,,,,,,,,,namecoin,nmc
242,,,2009/09/02,,,,,,,,,,,,,,,,,namecoin,nmc
243,,,2009/09/03,,,,,,,,,,,,,,,,,namecoin,nmc
244,,,2009/09/04,,,,,,,,,,,,,,,,,namecoin,nmc
