,date,sent_addresses,transactions,market_cap,active_addresses,send_usd,block_size,difficulty,fee_reward,google_trends,mining_profitability,median_transaction_value,av_transaction_value,confirmation_time,median_transaction_size,tweets,top_100_percent,av_transaction_size,hashrate,full_name,coin
193,2009/07/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
194,2009/07/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
195,2009/07/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
196,2009/07/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
197,2009/07/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
198,2009/07/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
199,2009/07/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
200,2009/07/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
201,2009/07/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
202,2009/07/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
203,2009/07/31,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
204,2009/08/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
205,2009/08/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
206,2009/08/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
207,2009/08/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
208,2009/08/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
209,2009/08/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
210,2009/08/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
211,2009/08/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
212,2009/08/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
213,2009/08/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
214,2009/08/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
215,2009/08/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
216,2009/08/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
217,2009/08/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
218,2009/08/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
219,2009/08/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
220,2009/08/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
221,2009/08/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
222,2009/08/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
223,2009/08/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
224,2009/08/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
225,2009/08/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
226,2009/08/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
227,2009/08/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
228,2009/08/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
229,2009/08/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
230,2009/08/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
231,2009/08/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
232,2009/08/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
233,2009/08/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
234,2009/08/31,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
235,2009/09/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
236,2009/09/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
237,2009/09/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
238,2009/09/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
239,2009/09/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
240,2009/09/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
241,2009/09/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
242,2009/09/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
243,2009/09/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
244,2009/09/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
245,2009/09/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
246,2009/09/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
247,2009/09/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
248,2009/09/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
249,2009/09/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
250,2009/09/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
251,2009/09/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
252,2009/09/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
253,2009/09/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
254,2009/09/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
255,2009/09/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
256,2009/09/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
257,2009/09/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
258,2009/09/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
259,2009/09/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
260,2009/09/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
261,2009/09/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
262,2009/09/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
263,2009/09/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
264,2009/09/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
265,2009/10/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
266,2009/10/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
267,2009/10/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
268,2009/10/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
269,2009/10/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
270,2009/10/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
271,2009/10/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
272,2009/10/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
273,2009/10/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
274,2009/10/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
275,2009/10/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
276,2009/10/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
277,2009/10/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
278,2009/10/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
279,2009/10/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
280,2009/10/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
281,2009/10/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
282,2009/10/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
283,2009/10/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
284,2009/10/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
285,2009/10/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
286,2009/10/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
287,2009/10/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
288,2009/10/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
289,2009/10/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
290,2009/10/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
291,2009/10/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
292,2009/10/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
293,2009/10/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
294,2009/10/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
295,2009/10/31,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
296,2009/11/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
297,2009/11/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
298,2009/11/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
299,2009/11/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
300,2009/11/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
301,2009/11/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
302,2009/11/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
303,2009/11/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
304,2009/11/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
305,2009/11/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
306,2009/11/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
307,2009/11/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
308,2009/11/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
309,2009/11/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
310,2009/11/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
311,2009/11/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
312,2009/11/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
313,2009/11/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
314,2009/11/19,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
315,2009/11/20,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
316,2009/11/21,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
317,2009/11/22,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
318,2009/11/23,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
319,2009/11/24,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
320,2009/11/25,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
321,2009/11/26,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
322,2009/11/27,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
323,2009/11/28,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
324,2009/11/29,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
325,2009/11/30,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
326,2009/12/01,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
327,2009/12/02,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
328,2009/12/03,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
329,2009/12/04,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
330,2009/12/05,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
331,2009/12/06,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
332,2009/12/07,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
333,2009/12/08,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
334,2009/12/09,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
335,2009/12/10,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
336,2009/12/11,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
337,2009/12/12,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
338,2009/12/13,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
339,2009/12/14,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
340,2009/12/15,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
341,2009/12/16,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
342,2009/12/17,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
343,2009/12/18,,,,,,,,,,,,,,,,,,,hotcoin,hotcoin
