,date,active_addresses,sent_addresses,block_size,transactions,median_transaction_size,mining_profitability,google_trends,difficulty,send_usd,hashrate,fee_reward,av_transaction_value,top_100_percent,median_transaction_value,av_transaction_size,market_cap,tweets,confirmation_time,full_name,coin
90,2009/04/03,116nullnull,31nullnull,134.948nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
91,2009/04/04,113nullnull,27nullnull,134.743nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
92,2009/04/05,148nullnull,37nullnull,150.554nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
93,2009/04/06,109nullnull,22nullnull,134.982nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
94,2009/04/07,100nullnull,9nullnull,134.99nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
95,2009/04/08,105nullnull,18nullnull,135nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
96,2009/04/09,99nullnull,18nullnull,134.737nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
97,2009/04/10,108nullnull,22nullnull,134.944nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
98,2009/04/11,128nullnull,32nullnull,142.333nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
99,2009/04/12,127nullnull,24nullnull,143.712nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
100,2009/04/13,117nullnull,27nullnull,136.965nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
101,2009/04/14,124nullnull,35nullnull,134.952nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
102,2009/04/15,113nullnull,22nullnull,134.743nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
103,2009/04/16,123nullnull,28nullnull,134.894nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
104,2009/04/17,112nullnull,16nullnull,134.857nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
105,2009/04/18,131nullnull,29nullnull,141.04nullnull,4nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
106,2009/04/19,128nullnull,22nullnull,143nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
107,2009/04/20,236nullnull,26nullnull,246.034nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
108,2009/04/21,125nullnull,26nullnull,136.74nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
109,2009/04/22,121nullnull,21nullnull,134.967nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
110,2009/04/23,75nullnull,15nullnull,134.68nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
111,2009/04/24,115nullnull,24nullnull,134.904nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
112,2009/04/25,118nullnull,29nullnull,134.864nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
113,2009/04/26,128nullnull,23nullnull,151.054nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
114,2009/04/27,104nullnull,16nullnull,134.894nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
115,2009/04/28,117nullnull,28nullnull,134.632nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
116,2009/04/29,149nullnull,24nullnull,153.094nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
117,2009/04/30,131nullnull,22nullnull,134.954nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
118,2009/05/01,121nullnull,32nullnull,134.876nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
119,2009/05/02,142nullnull,42nullnull,150.373nullnull,2nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
120,2009/05/03,110nullnull,35nullnull,142.726nullnull,3nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
121,2009/05/04,159nullnull,33nullnull,161.93nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
122,2009/05/05,146nullnull,36nullnull,143.667nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
123,2009/05/06,135nullnull,37nullnull,134.978nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
124,2009/05/07,122nullnull,32nullnull,135nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
125,2009/05/08,107nullnull,21nullnull,134.944nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
126,2009/05/09,78nullnull,25nullnull,134.487nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
127,2009/05/10,85nullnull,25nullnull,134.753nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
128,2009/05/11,123nullnull,20nullnull,137.858nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
129,2009/05/12,130nullnull,19nullnull,134.923nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
130,2009/05/13,117nullnull,27nullnull,144.775nullnull,5nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
131,2009/05/14,145nullnull,48nullnull,140.086nullnull,3nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
132,2009/05/15,146nullnull,35nullnull,143.603nullnull,1nullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
133,2009/05/16,119nullnull,25nullnull,134.95nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
134,2009/05/17,127nullnull,28nullnull,134.961nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
135,2009/05/18,118nullnull,21nullnull,134.924nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
136,2009/05/19,86nullnull,15nullnull,134.884nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
137,2009/05/20,120nullnull,29nullnull,134.733nullnull,nullnullnull,,,,1nullnull,,,,,,,,,,,zetacoin,zetacoin
