,date,transactions,sent_addresses,mining_profitability,send_usd,median_transaction_size,active_addresses,difficulty,hashrate,fee_reward,block_size,market_cap,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,tweets,top_100_percent,google_trends,full_name,coin
178,2009/06/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,polcoin,polcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,polcoin,polcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,polcoin,polcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,polcoin,polcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,polcoin,polcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,polcoin,polcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,polcoin,polcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,polcoin,polcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,polcoin,polcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,polcoin,polcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,polcoin,polcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,polcoin,polcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,polcoin,polcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,polcoin,polcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,polcoin,polcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,polcoin,polcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,polcoin,polcoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,polcoin,polcoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,polcoin,polcoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,polcoin,polcoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,polcoin,polcoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,polcoin,polcoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,polcoin,polcoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,polcoin,polcoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,polcoin,polcoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,polcoin,polcoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,polcoin,polcoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,polcoin,polcoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,polcoin,polcoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,polcoin,polcoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,polcoin,polcoin
