,date,block_size,av_transaction_size,av_transaction_value,market_cap,top_100_percent,confirmation_time,fee_reward,tweets,median_transaction_value,sent_addresses,hashrate,mining_profitability,transactions,google_trends,active_addresses,difficulty,send_usd,median_transaction_size,full_name,coin
201,2009/07/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,suncoin,suncoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
249,2009/09/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
250,2009/09/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
251,2009/09/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
252,2009/09/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
253,2009/09/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
254,2009/09/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
255,2009/09/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
256,2009/09/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
257,2009/09/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
258,2009/09/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
259,2009/09/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
260,2009/09/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
261,2009/09/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
262,2009/09/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
263,2009/09/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
264,2009/09/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
265,2009/09/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
266,2009/09/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
267,2009/09/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,suncoin,suncoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,suncoin,suncoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,suncoin,suncoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,suncoin,suncoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,suncoin,suncoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,suncoin,suncoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,suncoin,suncoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,suncoin,suncoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,suncoin,suncoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,suncoin,suncoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,suncoin,suncoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,suncoin,suncoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,suncoin,suncoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,suncoin,suncoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,suncoin,suncoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,suncoin,suncoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,suncoin,suncoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,suncoin,suncoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,suncoin,suncoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,suncoin,suncoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,suncoin,suncoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,suncoin,suncoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,suncoin,suncoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,suncoin,suncoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,suncoin,suncoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,suncoin,suncoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,suncoin,suncoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,suncoin,suncoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,suncoin,suncoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,suncoin,suncoin
