,block_size,active_addresses,transactions,sent_addresses,fee_reward,difficulty,hashrate,send_usd,mining_profitability,median_transaction_size,confirmation_time,av_transaction_value,av_transaction_size,median_transaction_value,google_trends,top_100_percent,date,tweets,market_cap,full_name,coin
173,,,,,,,,,,,,,,,,,2014/11/01,null,,siacoin,siacoin
174,,,,,,,,,,,,,,,,,2014/11/02,3,,siacoin,siacoin
175,,,,,,,,,,,,,,,,,2014/11/03,null,,siacoin,siacoin
176,,,,,,,,,,,,,,,,,2014/11/04,null,,siacoin,siacoin
177,,,,,,,,,,,,,,,,,2014/11/05,null,,siacoin,siacoin
178,,,,,,,,,,,,,,,,,2014/11/06,null,,siacoin,siacoin
179,,,,,,,,,,,,,,,,,2014/11/07,null,,siacoin,siacoin
180,,,,,,,,,,,,,,,,,2014/11/08,null,,siacoin,siacoin
181,,,,,,,,,,,,,,,,,2014/11/09,null,,siacoin,siacoin
182,,,,,,,,,,,,,,,,,2014/11/10,null,,siacoin,siacoin
183,,,,,,,,,,,,,,,,,2014/11/11,null,,siacoin,siacoin
184,,,,,,,,,,,,,,,,,2014/11/12,null,,siacoin,siacoin
185,,,,,,,,,,,,,,,,,2014/11/13,null,,siacoin,siacoin
186,,,,,,,,,,,,,,,,,2014/11/14,null,,siacoin,siacoin
187,,,,,,,,,,,,,,,,,2014/11/15,null,,siacoin,siacoin
188,,,,,,,,,,,,,,,,,2014/11/16,null,,siacoin,siacoin
189,,,,,,,,,,,,,,,,,2014/11/17,2,,siacoin,siacoin
190,,,,,,,,,,,,,,,,,2014/11/18,4,,siacoin,siacoin
191,,,,,,,,,,,,,,,,,2014/11/19,9,,siacoin,siacoin
192,,,,,,,,,,,,,,,,,2014/11/20,null,,siacoin,siacoin
193,,,,,,,,,,,,,,,,,2014/11/21,null,,siacoin,siacoin
194,,,,,,,,,,,,,,,,,2014/11/22,null,,siacoin,siacoin
195,,,,,,,,,,,,,,,,,2014/11/23,2,,siacoin,siacoin
196,,,,,,,,,,,,,,,,,2014/11/24,2,,siacoin,siacoin
197,,,,,,,,,,,,,,,,,2014/11/25,null,,siacoin,siacoin
198,,,,,,,,,,,,,,,,,2014/11/26,null,,siacoin,siacoin
199,,,,,,,,,,,,,,,,,2014/11/27,null,,siacoin,siacoin
200,,,,,,,,,,,,,,,,,2014/11/28,null,,siacoin,siacoin
201,,,,,,,,,,,,,,,,,2014/11/29,null,,siacoin,siacoin
202,,,,,,,,,,,,,,,,,2014/11/30,null,,siacoin,siacoin
203,,,,,,,,,,,,,,,,,2014/12/01,3,,siacoin,siacoin
204,,,,,,,,,,,,,,,,,2014/12/02,null,,siacoin,siacoin
205,,,,,,,,,,,,,,,,,2014/12/03,null,,siacoin,siacoin
206,,,,,,,,,,,,,,,,,2014/12/04,3,,siacoin,siacoin
207,,,,,,,,,,,,,,,,,2014/12/05,null,,siacoin,siacoin
208,,,,,,,,,,,,,,,,,2014/12/06,null,,siacoin,siacoin
209,,,,,,,,,,,,,,,,,2014/12/07,null,,siacoin,siacoin
210,,,,,,,,,,,,,,,,,2014/12/08,null,,siacoin,siacoin
211,,,,,,,,,,,,,,,,,2014/12/09,2,,siacoin,siacoin
212,,,,,,,,,,,,,,,,,2014/12/10,5,,siacoin,siacoin
213,,,,,,,,,,,,,,,,,2014/12/11,1,,siacoin,siacoin
214,,,,,,,,,,,,,,,,,2014/12/12,1,,siacoin,siacoin
215,,,,,,,,,,,,,,,,,2014/12/13,null,,siacoin,siacoin
216,,,,,,,,,,,,,,,,,2014/12/14,6,,siacoin,siacoin
217,,,,,,,,,,,,,,,,,2014/12/15,7,,siacoin,siacoin
218,,,,,,,,,,,,,,,,,2014/12/16,3,,siacoin,siacoin
219,,,,,,,,,,,,,,,,,2014/12/17,3,,siacoin,siacoin
220,,,,,,,,,,,,,,,,,2014/12/18,3,,siacoin,siacoin
221,,,,,,,,,,,,,,,,,2014/12/19,10,,siacoin,siacoin
222,,,,,,,,,,,,,,,,,2014/12/20,18,,siacoin,siacoin
223,,,,,,,,,,,,,,,,,2014/12/21,3,,siacoin,siacoin
224,,,,,,,,,,,,,,,,,2014/12/22,7,,siacoin,siacoin
225,,,,,,,,,,,,,,,,,2014/12/23,1,,siacoin,siacoin
226,,,,,,,,,,,,,,,,,2014/12/24,5,,siacoin,siacoin
227,,,,,,,,,,,,,,,,,2014/12/25,null,,siacoin,siacoin
228,,,,,,,,,,,,,,,,,2014/12/26,null,,siacoin,siacoin
229,,,,,,,,,,,,,,,,,2014/12/27,4,,siacoin,siacoin
230,,,,,,,,,,,,,,,,,2014/12/28,4,,siacoin,siacoin
231,,,,,,,,,,,,,,,,,2014/12/29,2,,siacoin,siacoin
232,,,,,,,,,,,,,,,,,2014/12/30,1,,siacoin,siacoin
233,,,,,,,,,,,,,,,,,2014/12/31,4,,siacoin,siacoin
234,,,,,,,,,,,,,,,,,2015/01/01,7,,siacoin,siacoin
235,,,,,,,,,,,,,,,,,2015/01/02,2,,siacoin,siacoin
236,,,,,,,,,,,,,,,,,2015/01/03,null,,siacoin,siacoin
237,,,,,,,,,,,,,,,,,2015/01/04,null,,siacoin,siacoin
238,,,,,,,,,,,,,,,,,2015/01/05,null,,siacoin,siacoin
239,,,,,,,,,,,,,,,,,2015/01/06,null,,siacoin,siacoin
