,date,sent_addresses,block_size,transactions,difficulty,median_transaction_value,top_100_percent,send_usd,active_addresses,fee_reward,market_cap,hashrate,median_transaction_size,av_transaction_value,mining_profitability,google_trends,av_transaction_size,confirmation_time,tweets,full_name,coin
233,2009/08/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
234,2009/08/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
235,2009/09/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
236,2009/09/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
237,2009/09/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
238,2009/09/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
239,2009/09/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
240,2009/09/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
241,2009/09/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
242,2009/09/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
243,2009/09/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
244,2009/09/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
245,2009/09/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
246,2009/09/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
247,2009/09/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
248,2009/09/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
249,2009/09/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
250,2009/09/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
251,2009/09/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
252,2009/09/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
253,2009/09/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
254,2009/09/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
255,2009/09/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
256,2009/09/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
257,2009/09/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
258,2009/09/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
259,2009/09/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
260,2009/09/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
261,2009/09/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
262,2009/09/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
263,2009/09/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
264,2009/09/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
265,2009/10/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
266,2009/10/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
267,2009/10/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
268,2009/10/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
269,2009/10/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
270,2009/10/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
271,2009/10/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
272,2009/10/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
273,2009/10/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
274,2009/10/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
275,2009/10/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
276,2009/10/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
277,2009/10/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
278,2009/10/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
279,2009/10/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
280,2009/10/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
281,2009/10/17,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
282,2009/10/18,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
283,2009/10/19,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
284,2009/10/20,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
285,2009/10/21,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
286,2009/10/22,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
287,2009/10/23,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
288,2009/10/24,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
289,2009/10/25,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
290,2009/10/26,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
291,2009/10/27,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
292,2009/10/28,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
293,2009/10/29,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
294,2009/10/30,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
295,2009/10/31,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
296,2009/11/01,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
297,2009/11/02,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
298,2009/11/03,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
299,2009/11/04,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
300,2009/11/05,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
301,2009/11/06,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
302,2009/11/07,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
303,2009/11/08,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
304,2009/11/09,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
305,2009/11/10,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
306,2009/11/11,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
307,2009/11/12,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
308,2009/11/13,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
309,2009/11/14,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
310,2009/11/15,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
311,2009/11/16,,,,,,,,,,,,,,,,,,,phoenixcoin,phoenixcoin
