,date,transactions,median_transaction_size,block_size,av_transaction_size,hashrate,market_cap,av_transaction_value,difficulty,send_usd,median_transaction_value,confirmation_time,mining_profitability,active_addresses,fee_reward,sent_addresses,top_100_percent,google_trends,tweets,full_name,coin
262,2009/09/22,,,,,,,,,,,,,,,,,,,minerals,minerals
263,2009/09/23,,,,,,,,,,,,,,,,,,,minerals,minerals
264,2009/09/24,,,,,,,,,,,,,,,,,,,minerals,minerals
265,2009/09/25,,,,,,,,,,,,,,,,,,,minerals,minerals
266,2009/09/26,,,,,,,,,,,,,,,,,,,minerals,minerals
267,2009/09/27,,,,,,,,,,,,,,,,,,,minerals,minerals
268,2009/09/28,,,,,,,,,,,,,,,,,,,minerals,minerals
269,2009/09/29,,,,,,,,,,,,,,,,,,,minerals,minerals
270,2009/09/30,,,,,,,,,,,,,,,,,,,minerals,minerals
271,2009/10/01,,,,,,,,,,,,,,,,,,,minerals,minerals
272,2009/10/02,,,,,,,,,,,,,,,,,,,minerals,minerals
273,2009/10/03,,,,,,,,,,,,,,,,,,,minerals,minerals
274,2009/10/04,,,,,,,,,,,,,,,,,,,minerals,minerals
275,2009/10/05,,,,,,,,,,,,,,,,,,,minerals,minerals
276,2009/10/06,,,,,,,,,,,,,,,,,,,minerals,minerals
277,2009/10/07,,,,,,,,,,,,,,,,,,,minerals,minerals
278,2009/10/08,,,,,,,,,,,,,,,,,,,minerals,minerals
279,2009/10/09,,,,,,,,,,,,,,,,,,,minerals,minerals
280,2009/10/10,,,,,,,,,,,,,,,,,,,minerals,minerals
281,2009/10/11,,,,,,,,,,,,,,,,,,,minerals,minerals
282,2009/10/12,,,,,,,,,,,,,,,,,,,minerals,minerals
283,2009/10/13,,,,,,,,,,,,,,,,,,,minerals,minerals
284,2009/10/14,,,,,,,,,,,,,,,,,,,minerals,minerals
285,2009/10/15,,,,,,,,,,,,,,,,,,,minerals,minerals
286,2009/10/16,,,,,,,,,,,,,,,,,,,minerals,minerals
287,2009/10/17,,,,,,,,,,,,,,,,,,,minerals,minerals
288,2009/10/18,,,,,,,,,,,,,,,,,,,minerals,minerals
289,2009/10/19,,,,,,,,,,,,,,,,,,,minerals,minerals
290,2009/10/20,,,,,,,,,,,,,,,,,,,minerals,minerals
291,2009/10/21,,,,,,,,,,,,,,,,,,,minerals,minerals
292,2009/10/22,,,,,,,,,,,,,,,,,,,minerals,minerals
293,2009/10/23,,,,,,,,,,,,,,,,,,,minerals,minerals
294,2009/10/24,,,,,,,,,,,,,,,,,,,minerals,minerals
295,2009/10/25,,,,,,,,,,,,,,,,,,,minerals,minerals
296,2009/10/26,,,,,,,,,,,,,,,,,,,minerals,minerals
297,2009/10/27,,,,,,,,,,,,,,,,,,,minerals,minerals
298,2009/10/28,,,,,,,,,,,,,,,,,,,minerals,minerals
299,2009/10/29,,,,,,,,,,,,,,,,,,,minerals,minerals
300,2009/10/30,,,,,,,,,,,,,,,,,,,minerals,minerals
301,2009/10/31,,,,,,,,,,,,,,,,,,,minerals,minerals
302,2009/11/01,,,,,,,,,,,,,,,,,,,minerals,minerals
303,2009/11/02,,,,,,,,,,,,,,,,,,,minerals,minerals
304,2009/11/03,,,,,,,,,,,,,,,,,,,minerals,minerals
305,2009/11/04,,,,,,,,,,,,,,,,,,,minerals,minerals
306,2009/11/05,,,,,,,,,,,,,,,,,,,minerals,minerals
307,2009/11/06,,,,,,,,,,,,,,,,,,,minerals,minerals
308,2009/11/07,,,,,,,,,,,,,,,,,,,minerals,minerals
309,2009/11/08,,,,,,,,,,,,,,,,,,,minerals,minerals
310,2009/11/09,,,,,,,,,,,,,,,,,,,minerals,minerals
311,2009/11/10,,,,,,,,,,,,,,,,,,,minerals,minerals
312,2009/11/11,,,,,,,,,,,,,,,,,,,minerals,minerals
313,2009/11/12,,,,,,,,,,,,,,,,,,,minerals,minerals
314,2009/11/13,,,,,,,,,,,,,,,,,,,minerals,minerals
315,2009/11/14,,,,,,,,,,,,,,,,,,,minerals,minerals
316,2009/11/15,,,,,,,,,,,,,,,,,,,minerals,minerals
317,2009/11/16,,,,,,,,,,,,,,,,,,,minerals,minerals
318,2009/11/17,,,,,,,,,,,,,,,,,,,minerals,minerals
319,2009/11/18,,,,,,,,,,,,,,,,,,,minerals,minerals
320,2009/11/19,,,,,,,,,,,,,,,,,,,minerals,minerals
321,2009/11/20,,,,,,,,,,,,,,,,,,,minerals,minerals
322,2009/11/21,,,,,,,,,,,,,,,,,,,minerals,minerals
323,2009/11/22,,,,,,,,,,,,,,,,,,,minerals,minerals
324,2009/11/23,,,,,,,,,,,,,,,,,,,minerals,minerals
325,2009/11/24,,,,,,,,,,,,,,,,,,,minerals,minerals
326,2009/11/25,,,,,,,,,,,,,,,,,,,minerals,minerals
327,2009/11/26,,,,,,,,,,,,,,,,,,,minerals,minerals
328,2009/11/27,,,,,,,,,,,,,,,,,,,minerals,minerals
329,2009/11/28,,,,,,,,,,,,,,,,,,,minerals,minerals
330,2009/11/29,,,,,,,,,,,,,,,,,,,minerals,minerals
331,2009/11/30,,,,,,,,,,,,,,,,,,,minerals,minerals
332,2009/12/01,,,,,,,,,,,,,,,,,,,minerals,minerals
333,2009/12/02,,,,,,,,,,,,,,,,,,,minerals,minerals
334,2009/12/03,,,,,,,,,,,,,,,,,,,minerals,minerals
335,2009/12/04,,,,,,,,,,,,,,,,,,,minerals,minerals
336,2009/12/05,,,,,,,,,,,,,,,,,,,minerals,minerals
337,2009/12/06,,,,,,,,,,,,,,,,,,,minerals,minerals
338,2009/12/07,,,,,,,,,,,,,,,,,,,minerals,minerals
339,2009/12/08,,,,,,,,,,,,,,,,,,,minerals,minerals
340,2009/12/09,,,,,,,,,,,,,,,,,,,minerals,minerals
341,2009/12/10,,,,,,,,,,,,,,,,,,,minerals,minerals
342,2009/12/11,,,,,,,,,,,,,,,,,,,minerals,minerals
343,2009/12/12,,,,,,,,,,,,,,,,,,,minerals,minerals
344,2009/12/13,,,,,,,,,,,,,,,,,,,minerals,minerals
345,2009/12/14,,,,,,,,,,,,,,,,,,,minerals,minerals
346,2009/12/15,,,,,,,,,,,,,,,,,,,minerals,minerals
347,2009/12/16,,,,,,,,,,,,,,,,,,,minerals,minerals
348,2009/12/17,,,,,,,,,,,,,,,,,,,minerals,minerals
349,2009/12/18,,,,,,,,,,,,,,,,,,,minerals,minerals
350,2009/12/19,,,,,,,,,,,,,,,,,,,minerals,minerals
351,2009/12/20,,,,,,,,,,,,,,,,,,,minerals,minerals
352,2009/12/21,,,,,,,,,,,,,,,,,,,minerals,minerals
353,2009/12/22,,,,,,,,,,,,,,,,,,,minerals,minerals
354,2009/12/23,,,,,,,,,,,,,,,,,,,minerals,minerals
355,2009/12/24,,,,,,,,,,,,,,,,,,,minerals,minerals
356,2009/12/25,,,,,,,,,,,,,,,,,,,minerals,minerals
357,2009/12/26,,,,,,,,,,,,,,,,,,,minerals,minerals
358,2009/12/27,,,,,,,,,,,,,,,,,,,minerals,minerals
359,2009/12/28,,,,,,,,,,,,,,,,,,,minerals,minerals
360,2009/12/29,,,,,,,,,,,,,,,,,,,minerals,minerals
361,2009/12/30,,,,,,,,,,,,,,,,,,,minerals,minerals
362,2009/12/31,,,,,,,,,,,,,,,,,,,minerals,minerals
363,2010/01/01,,,,,,,,,,,,,,,,,,,minerals,minerals
364,2010/01/02,,,,,,,,,,,,,,,,,,,minerals,minerals
365,2010/01/03,,,,,,,,,,,,,,,,,,,minerals,minerals
366,2010/01/04,,,,,,,,,,,,,,,,,,,minerals,minerals
367,2010/01/05,,,,,,,,,,,,,,,,,,,minerals,minerals
368,2010/01/06,,,,,,,,,,,,,,,,,,,minerals,minerals
369,2010/01/07,,,,,,,,,,,,,,,,,,,minerals,minerals
370,2010/01/08,,,,,,,,,,,,,,,,,,,minerals,minerals
371,2010/01/09,,,,,,,,,,,,,,,,,,,minerals,minerals
372,2010/01/10,,,,,,,,,,,,,,,,,,,minerals,minerals
373,2010/01/11,,,,,,,,,,,,,,,,,,,minerals,minerals
374,2010/01/12,,,,,,,,,,,,,,,,,,,minerals,minerals
375,2010/01/13,,,,,,,,,,,,,,,,,,,minerals,minerals
376,2010/01/14,,,,,,,,,,,,,,,,,,,minerals,minerals
377,2010/01/15,,,,,,,,,,,,,,,,,,,minerals,minerals
378,2010/01/16,,,,,,,,,,,,,,,,,,,minerals,minerals
379,2010/01/17,,,,,,,,,,,,,,,,,,,minerals,minerals
380,2010/01/18,,,,,,,,,,,,,,,,,,,minerals,minerals
381,2010/01/19,,,,,,,,,,,,,,,,,,,minerals,minerals
382,2010/01/20,,,,,,,,,,,,,,,,,,,minerals,minerals
383,2010/01/21,,,,,,,,,,,,,,,,,,,minerals,minerals
384,2010/01/22,,,,,,,,,,,,,,,,,,,minerals,minerals
385,2010/01/23,,,,,,,,,,,,,,,,,,,minerals,minerals
