,date,send_usd,sent_addresses,difficulty,active_addresses,fee_reward,median_transaction_size,transactions,market_cap,av_transaction_value,mining_profitability,block_size,av_transaction_size,top_100_percent,confirmation_time,tweets,google_trends,hashrate,median_transaction_value,full_name,coin
83,2010/10/08,11781nullnull,392nullnull,1319nullnull,813nullnull,,,209nullnull,323006nullnull,32.454nullnull,,783.409nullnull,,,,,,,,novacoin,nvc
84,2010/10/09,16413nullnull,440nullnull,1319nullnull,750nullnull,,,243nullnull,371894nullnull,40.929nullnull,,823.924nullnull,,,,,,,,novacoin,nvc
85,2010/10/10,11223nullnull,396nullnull,1319nullnull,623nullnull,,,185nullnull,399357nullnull,30.917nullnull,,549.596nullnull,,,,,,,,novacoin,nvc
86,2010/10/11,5102nullnull,372nullnull,1319nullnull,631nullnull,,,183nullnull,392809nullnull,14.918nullnull,,575.585nullnull,,,,,,,,novacoin,nvc
87,2010/10/12,7374nullnull,396nullnull,1363nullnull,646nullnull,,,197nullnull,399684nullnull,20.949nullnull,,617.742nullnull,,,,,,,,novacoin,nvc
88,2010/10/13,11254nullnull,408nullnull,1378nullnull,926nullnull,,,188nullnull,417586nullnull,30.917nullnull,,788.705nullnull,,,,,,,,novacoin,nvc
89,2010/10/14,18369nullnull,388nullnull,1378nullnull,634nullnull,,,162nullnull,438632nullnull,50.052nullnull,,487.815nullnull,,,,,,,,novacoin,nvc
90,2010/10/15,15013nullnull,372nullnull,1378nullnull,581nullnull,,,151nullnull,436496nullnull,45.771nullnull,,450.746nullnull,,,,,,,,novacoin,nvc
91,2010/10/16,19918nullnull,455nullnull,1378nullnull,933nullnull,,,183nullnull,428869nullnull,45.166nullnull,,487.981nullnull,,,,,,,,novacoin,nvc
92,2010/10/17,11066nullnull,479nullnull,1378nullnull,752nullnull,,,187nullnull,436585nullnull,24.215nullnull,,406.5nullnull,,,,,,,,novacoin,nvc
93,2010/10/18,22342nullnull,644nullnull,1378nullnull,947nullnull,,,330nullnull,440968nullnull,38.587nullnull,,653.683nullnull,,,,,,,,novacoin,nvc
94,2010/10/19,26165nullnull,1113nullnull,1378nullnull,1408nullnull,,,668nullnull,424161nullnull,28.317nullnull,,1084nullnull,,,,,,,,novacoin,nvc
95,2010/10/20,19866nullnull,842nullnull,1378nullnull,1183nullnull,,,449nullnull,429740nullnull,27.863nullnull,,787.659nullnull,,,,,,,,novacoin,nvc
96,2010/10/21,19022nullnull,639nullnull,1962nullnull,994nullnull,,,366nullnull,442318nullnull,34.459nullnull,,890.903nullnull,,,,,,,,novacoin,nvc
97,2010/10/22,13623nullnull,710nullnull,2149nullnull,972nullnull,,,448nullnull,456965nullnull,22.629nullnull,,1182nullnull,,,,,,,,novacoin,nvc
98,2010/10/23,4606nullnull,618nullnull,2149nullnull,835nullnull,,,342nullnull,464277nullnull,8.909nullnull,,821.537nullnull,,,,,,,,novacoin,nvc
99,2010/10/24,11685nullnull,626nullnull,2149nullnull,851nullnull,,,347nullnull,485933nullnull,21.169nullnull,,707.171nullnull,,,,,,,,novacoin,nvc
100,2010/10/25,16656nullnull,462nullnull,2149nullnull,752nullnull,,,207nullnull,485067nullnull,40.625nullnull,,575.99nullnull,,,,,,,,novacoin,nvc
101,2010/10/26,25687nullnull,620nullnull,2149nullnull,866nullnull,,,277nullnull,620193nullnull,49.589nullnull,,554.826nullnull,,,,,,,,novacoin,nvc
102,2010/10/27,34185nullnull,695nullnull,2149nullnull,1117nullnull,,,355nullnull,743514nullnull,60.185nullnull,,828.333nullnull,,,,,,,,novacoin,nvc
103,2010/10/28,33547nullnull,593nullnull,2149nullnull,998nullnull,,,267nullnull,786908nullnull,69.027nullnull,,647.174nullnull,,,,,,,,novacoin,nvc
104,2010/10/29,15920nullnull,494nullnull,2149nullnull,848nullnull,,,244nullnull,815999nullnull,34.089nullnull,,648.83nullnull,,,,,,,,novacoin,nvc
105,2010/10/30,11303nullnull,417nullnull,2186nullnull,659nullnull,,,174nullnull,854774nullnull,26.534nullnull,,394.782nullnull,,,,,,,,novacoin,nvc
106,2010/10/31,12543nullnull,300nullnull,3092nullnull,572nullnull,,,128nullnull,857209nullnull,40.857nullnull,,460.128nullnull,,,,,,,,novacoin,nvc
107,2010/11/01,8198nullnull,354nullnull,3092nullnull,597nullnull,,,174nullnull,862272nullnull,23.356nullnull,,500.271nullnull,,,,,,,,novacoin,nvc
108,2010/11/02,12061nullnull,276nullnull,3092nullnull,458nullnull,,,110nullnull,859090nullnull,42.172nullnull,,368.341nullnull,,,,,,,,novacoin,nvc
109,2010/11/03,11023nullnull,354nullnull,3092nullnull,574nullnull,,,157nullnull,863242nullnull,31.766nullnull,,440.447nullnull,,,,,,,,novacoin,nvc
110,2010/11/04,33625nullnull,336nullnull,3092nullnull,607nullnull,,,141nullnull,958988nullnull,98.32nullnull,,432.716nullnull,,,,,,,,novacoin,nvc
111,2010/11/05,9874nullnull,444nullnull,3092nullnull,835nullnull,,,223nullnull,1053471nullnull,22.34nullnull,,624.639nullnull,,,,,,,,novacoin,nvc
112,2010/11/06,41251nullnull,409nullnull,3092nullnull,596nullnull,,,176nullnull,1464669nullnull,104.697nullnull,,447.642nullnull,,,,,,,,novacoin,nvc
113,2010/11/07,36350nullnull,438nullnull,3092nullnull,690nullnull,,,210nullnull,1823996nullnull,80.598nullnull,,447.195nullnull,,,,,,,,novacoin,nvc
114,2010/11/08,147061nullnull,487nullnull,3092nullnull,1571nullnull,,,240nullnull,1329677nullnull,285.555nullnull,,763.556nullnull,,,,,,,,novacoin,nvc
115,2010/11/09,12269nullnull,393nullnull,3671nullnull,648nullnull,,,192nullnull,1073503nullnull,29.997nullnull,,465.521nullnull,,,,,,,,novacoin,nvc
116,2010/11/10,13173nullnull,410nullnull,4536nullnull,651nullnull,,,194nullnull,1021590nullnull,33.181nullnull,,468.025nullnull,,,,,,,,novacoin,nvc
117,2010/11/11,9427nullnull,379nullnull,4536nullnull,601nullnull,,,176nullnull,1030700nullnull,23.865nullnull,,429.356nullnull,,,,,,,,novacoin,nvc
