,date,block_size,median_transaction_size,median_transaction_value,market_cap,hashrate,top_100_percent,transactions,active_addresses,fee_reward,sent_addresses,tweets,difficulty,confirmation_time,send_usd,av_transaction_value,google_trends,mining_profitability,av_transaction_size,full_name,coin
267,2009/09/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
268,2009/09/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
269,2009/09/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
270,2009/09/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
271,2009/10/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
272,2009/10/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
273,2009/10/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
274,2009/10/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
275,2009/10/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
276,2009/10/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
277,2009/10/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
278,2009/10/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
279,2009/10/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
280,2009/10/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
281,2009/10/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
282,2009/10/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
283,2009/10/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
284,2009/10/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
285,2009/10/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
286,2009/10/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
287,2009/10/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
288,2009/10/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
289,2009/10/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
290,2009/10/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
291,2009/10/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
292,2009/10/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
293,2009/10/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
294,2009/10/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
295,2009/10/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
296,2009/10/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
297,2009/10/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
298,2009/10/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
299,2009/10/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
300,2009/10/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
301,2009/10/31,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
302,2009/11/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
303,2009/11/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
304,2009/11/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
305,2009/11/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
306,2009/11/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
307,2009/11/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
308,2009/11/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
309,2009/11/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
310,2009/11/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
311,2009/11/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
312,2009/11/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
313,2009/11/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
314,2009/11/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
315,2009/11/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
316,2009/11/15,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
317,2009/11/16,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
318,2009/11/17,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
319,2009/11/18,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
320,2009/11/19,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
321,2009/11/20,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
322,2009/11/21,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
323,2009/11/22,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
324,2009/11/23,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
325,2009/11/24,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
326,2009/11/25,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
327,2009/11/26,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
328,2009/11/27,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
329,2009/11/28,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
330,2009/11/29,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
331,2009/11/30,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
332,2009/12/01,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
333,2009/12/02,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
334,2009/12/03,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
335,2009/12/04,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
336,2009/12/05,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
337,2009/12/06,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
338,2009/12/07,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
339,2009/12/08,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
340,2009/12/09,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
341,2009/12/10,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
342,2009/12/11,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
343,2009/12/12,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
344,2009/12/13,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
345,2009/12/14,,,,,,,,,,,,,,,,,,,worldcoin,worldcoin
