,difficulty,block_size,av_transaction_value,confirmation_time,median_transaction_size,hashrate,top_100_percent,mining_profitability,google_trends,fee_reward,transactions,av_transaction_size,send_usd,median_transaction_value,active_addresses,sent_addresses,date,tweets,market_cap,full_name,coin
213,,,,,,,,,,,,,,,,,2015/02/09,null,132164,stealthcoin,stealthcoin
214,,,,,,,,,,,,,,,,,2015/02/10,null,126002,stealthcoin,stealthcoin
215,,,,,,,,,,,,,,,,,2015/02/11,null,129702,stealthcoin,stealthcoin
216,,,,,,,,,,,,,,,,,2015/02/12,null,126926,stealthcoin,stealthcoin
217,,,,,,,,,,,,,,,,,2015/02/13,null,128773,stealthcoin,stealthcoin
218,,,,,,,,,,,,,,,,,2015/02/14,null,null,stealthcoin,stealthcoin
219,,,,,,,,,,,,,,,,,2015/02/15,null,134265,stealthcoin,stealthcoin
220,,,,,,,,,,,,,,,,,2015/02/16,null,135065,stealthcoin,stealthcoin
221,,,,,,,,,,,,,,,,,2015/02/17,null,138727,stealthcoin,stealthcoin
222,,,,,,,,,,,,,,,,,2015/02/18,null,142627,stealthcoin,stealthcoin
223,,,,,,,,,,,,,,,,,2015/02/19,null,144843,stealthcoin,stealthcoin
224,,,,,,,,,,,,,,,,,2015/02/20,3,142960,stealthcoin,stealthcoin
225,,,,,,,,,,,,,,,,,2015/02/21,1,145570,stealthcoin,stealthcoin
226,,,,,,,,,,,,,,,,,2015/02/22,2,145007,stealthcoin,stealthcoin
227,,,,,,,,,,,,,,,,,2015/02/23,null,139162,stealthcoin,stealthcoin
228,,,,,,,,,,,,,,,,,2015/02/24,null,138252,stealthcoin,stealthcoin
229,,,,,,,,,,,,,,,,,2015/02/25,1,145692,stealthcoin,stealthcoin
230,,,,,,,,,,,,,,,,,2015/02/26,null,150905,stealthcoin,stealthcoin
231,,,,,,,,,,,,,,,,,2015/02/27,null,158876,stealthcoin,stealthcoin
232,,,,,,,,,,,,,,,,,2015/02/28,null,162874,stealthcoin,stealthcoin
233,,,,,,,,,,,,,,,,,2015/03/01,null,136718,stealthcoin,stealthcoin
234,,,,,,,,,,,,,,,,,2015/03/02,1,149781,stealthcoin,stealthcoin
235,,,,,,,,,,,,,,,,,2015/03/03,null,149306,stealthcoin,stealthcoin
236,,,,,,,,,,,,,,,,,2015/03/04,9,163888,stealthcoin,stealthcoin
237,,,,,,,,,,,,,,,,,2015/03/05,3,163133,stealthcoin,stealthcoin
