,date,block_size,transactions,sent_addresses,difficulty,median_transaction_size,top_100_percent,av_transaction_value,av_transaction_size,send_usd,median_transaction_value,market_cap,active_addresses,google_trends,mining_profitability,fee_reward,hashrate,confirmation_time,tweets,full_name,coin
165,2009/06/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
166,2009/06/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
167,2009/06/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
168,2009/06/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
169,2009/06/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
170,2009/06/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
171,2009/06/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
172,2009/06/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
173,2009/06/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
174,2009/06/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
175,2009/06/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
176,2009/06/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
177,2009/06/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
178,2009/06/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
179,2009/07/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
180,2009/07/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
181,2009/07/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
182,2009/07/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
183,2009/07/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
184,2009/07/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
185,2009/07/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
186,2009/07/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
215,2009/08/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
216,2009/08/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
217,2009/08/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
218,2009/08/09,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
219,2009/08/10,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
220,2009/08/11,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
221,2009/08/12,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
222,2009/08/13,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
223,2009/08/14,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
224,2009/08/15,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
225,2009/08/16,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
226,2009/08/17,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
227,2009/08/18,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
228,2009/08/19,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
229,2009/08/20,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
230,2009/08/21,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
231,2009/08/22,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
232,2009/08/23,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
233,2009/08/24,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
234,2009/08/25,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
235,2009/08/26,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
236,2009/08/27,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
237,2009/08/28,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
238,2009/08/29,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
239,2009/08/30,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
240,2009/08/31,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
241,2009/09/01,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
242,2009/09/02,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
243,2009/09/03,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
244,2009/09/04,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
245,2009/09/05,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
246,2009/09/06,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
247,2009/09/07,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
248,2009/09/08,,,,,,,,,,,,,,,,,,,leafcoin,leafcoin
