,date,transactions,block_size,sent_addresses,difficulty,active_addresses,hashrate,av_transaction_size,send_usd,median_transaction_size,av_transaction_value,median_transaction_value,mining_profitability,confirmation_time,google_trends,top_100_percent,tweets,market_cap,fee_reward,full_name,coin
185,2009/07/07,nullnullnull,134.942nullnull,19nullnull,1nullnull,69nullnull,,,,,,,,,,,,,,isracoin,isracoin
186,2009/07/08,nullnullnull,134.986nullnull,19nullnull,1nullnull,74nullnull,,,,,,,,,,,,,,isracoin,isracoin
187,2009/07/09,nullnullnull,134.721nullnull,33nullnull,1nullnull,86nullnull,,,,,,,,,,,,,,isracoin,isracoin
188,2009/07/10,nullnullnull,134.864nullnull,29nullnull,1nullnull,81nullnull,,,,,,,,,,,,,,isracoin,isracoin
189,2009/07/11,nullnullnull,134.988nullnull,29nullnull,1nullnull,83nullnull,,,,,,,,,,,,,,isracoin,isracoin
190,2009/07/12,nullnullnull,134.792nullnull,25nullnull,1nullnull,77nullnull,,,,,,,,,,,,,,isracoin,isracoin
191,2009/07/13,nullnullnull,134.91nullnull,24nullnull,1nullnull,78nullnull,,,,,,,,,,,,,,isracoin,isracoin
192,2009/07/14,nullnullnull,134.957nullnull,13nullnull,1nullnull,69nullnull,,,,,,,,,,,,,,isracoin,isracoin
193,2009/07/15,nullnullnull,134.978nullnull,9nullnull,1nullnull,45nullnull,,,,,,,,,,,,,,isracoin,isracoin
194,2009/07/16,nullnullnull,134.859nullnull,15nullnull,1nullnull,71nullnull,,,,,,,,,,,,,,isracoin,isracoin
195,2009/07/17,nullnullnull,134.809nullnull,12nullnull,1nullnull,47nullnull,,,,,,,,,,,,,,isracoin,isracoin
196,2009/07/18,nullnullnull,134nullnull,4nullnull,1nullnull,4nullnull,,,,,,,,,,,,,,isracoin,isracoin
197,2009/07/19,nullnullnull,134.8nullnull,23nullnull,1nullnull,70nullnull,,,,,,,,,,,,,,isracoin,isracoin
198,2009/07/20,1nullnull,333.7nullnull,21nullnull,1nullnull,192nullnull,,,,,,,,,,,,,,isracoin,isracoin
199,2009/07/21,nullnullnull,134.854nullnull,18nullnull,1nullnull,82nullnull,,,,,,,,,,,,,,isracoin,isracoin
200,2009/07/22,nullnullnull,134.4nullnull,22nullnull,1nullnull,60nullnull,,,,,,,,,,,,,,isracoin,isracoin
201,2009/07/23,nullnullnull,134.684nullnull,21nullnull,1nullnull,76nullnull,,,,,,,,,,,,,,isracoin,isracoin
202,2009/07/24,nullnullnull,134.932nullnull,21nullnull,1nullnull,73nullnull,,,,,,,,,,,,,,isracoin,isracoin
203,2009/07/25,nullnullnull,134.844nullnull,10nullnull,1nullnull,32nullnull,,,,,,,,,,,,,,isracoin,isracoin
204,2009/07/26,nullnullnull,134.524nullnull,21nullnull,1nullnull,21nullnull,,,,,,,,,,,,,,isracoin,isracoin
205,2009/07/27,nullnullnull,134.905nullnull,18nullnull,1nullnull,74nullnull,,,,,,,,,,,,,,isracoin,isracoin
206,2009/07/28,nullnullnull,134.707nullnull,21nullnull,1nullnull,41nullnull,,,,,,,,,,,,,,isracoin,isracoin
207,2009/07/29,1nullnull,148.947nullnull,17nullnull,1nullnull,22nullnull,,,,,,,,,,,,,,isracoin,isracoin
208,2009/07/30,1nullnull,150.2nullnull,16nullnull,1nullnull,17nullnull,,,,,,,,,,,,,,isracoin,isracoin
