,sent_addresses,transactions,hashrate,av_transaction_size,confirmation_time,block_size,median_transaction_size,median_transaction_value,av_transaction_value,top_100_percent,fee_reward,difficulty,google_trends,send_usd,mining_profitability,active_addresses,date,tweets,market_cap,full_name,coin
223,,,,,,,,,,,,,,,,,2014/12/24,null,,savecoin,savecoin
224,,,,,,,,,,,,,,,,,2014/12/25,null,,savecoin,savecoin
225,,,,,,,,,,,,,,,,,2014/12/26,null,,savecoin,savecoin
226,,,,,,,,,,,,,,,,,2014/12/27,null,,savecoin,savecoin
227,,,,,,,,,,,,,,,,,2014/12/28,null,,savecoin,savecoin
228,,,,,,,,,,,,,,,,,2014/12/29,null,,savecoin,savecoin
229,,,,,,,,,,,,,,,,,2014/12/30,null,,savecoin,savecoin
230,,,,,,,,,,,,,,,,,2014/12/31,null,,savecoin,savecoin
231,,,,,,,,,,,,,,,,,2015/01/01,null,,savecoin,savecoin
232,,,,,,,,,,,,,,,,,2015/01/02,null,,savecoin,savecoin
233,,,,,,,,,,,,,,,,,2015/01/03,null,,savecoin,savecoin
234,,,,,,,,,,,,,,,,,2015/01/04,null,,savecoin,savecoin
235,,,,,,,,,,,,,,,,,2015/01/05,null,,savecoin,savecoin
236,,,,,,,,,,,,,,,,,2015/01/06,null,,savecoin,savecoin
237,,,,,,,,,,,,,,,,,2015/01/07,null,,savecoin,savecoin
238,,,,,,,,,,,,,,,,,2015/01/08,null,,savecoin,savecoin
239,,,,,,,,,,,,,,,,,2015/01/09,null,,savecoin,savecoin
240,,,,,,,,,,,,,,,,,2015/01/10,null,,savecoin,savecoin
241,,,,,,,,,,,,,,,,,2015/01/11,null,,savecoin,savecoin
242,,,,,,,,,,,,,,,,,2015/01/12,null,,savecoin,savecoin
243,,,,,,,,,,,,,,,,,2015/01/13,null,,savecoin,savecoin
244,,,,,,,,,,,,,,,,,2015/01/14,null,,savecoin,savecoin
245,,,,,,,,,,,,,,,,,2015/01/15,null,,savecoin,savecoin
246,,,,,,,,,,,,,,,,,2015/01/16,null,,savecoin,savecoin
247,,,,,,,,,,,,,,,,,2015/01/17,null,,savecoin,savecoin
248,,,,,,,,,,,,,,,,,2015/01/18,null,,savecoin,savecoin
