,transactions,sent_addresses,block_size,hashrate,difficulty,mining_profitability,send_usd,av_transaction_size,median_transaction_size,confirmation_time,av_transaction_value,google_trends,median_transaction_value,active_addresses,top_100_percent,fee_reward,date,tweets,market_cap,full_name,coin
152,,,,,,,,,,,,,,,,,2014/10/30,49,623691,vericoin,vericoin
153,,,,,,,,,,,,,,,,,2014/10/31,82,519138,vericoin,vericoin
154,,,,,,,,,,,,,,,,,2014/11/01,93,511767,vericoin,vericoin
155,,,,,,,,,,,,,,,,,2014/11/02,62,521439,vericoin,vericoin
156,,,,,,,,,,,,,,,,,2014/11/03,44,520363,vericoin,vericoin
157,,,,,,,,,,,,,,,,,2014/11/04,66,520494,vericoin,vericoin
158,,,,,,,,,,,,,,,,,2014/11/05,42,585423,vericoin,vericoin
159,,,,,,,,,,,,,,,,,2014/11/06,69,618325,vericoin,vericoin
160,,,,,,,,,,,,,,,,,2014/11/07,31,581180,vericoin,vericoin
161,,,,,,,,,,,,,,,,,2014/11/08,44,556861,vericoin,vericoin
162,,,,,,,,,,,,,,,,,2014/11/09,37,555273,vericoin,vericoin
163,,,,,,,,,,,,,,,,,2014/11/10,77,573078,vericoin,vericoin
164,,,,,,,,,,,,,,,,,2014/11/11,31,550975,vericoin,vericoin
165,,,,,,,,,,,,,,,,,2014/11/12,135,590076,vericoin,vericoin
166,,,,,,,,,,,,,,,,,2014/11/13,99,596395,vericoin,vericoin
167,,,,,,,,,,,,,,,,,2014/11/14,57,479287,vericoin,vericoin
168,,,,,,,,,,,,,,,,,2014/11/15,60,466399,vericoin,vericoin
169,,,,,,,,,,,,,,,,,2014/11/16,31,422178,vericoin,vericoin
170,,,,,,,,,,,,,,,,,2014/11/17,45,438353,vericoin,vericoin
171,,,,,,,,,,,,,,,,,2014/11/18,21,415239,vericoin,vericoin
172,,,,,,,,,,,,,,,,,2014/11/19,59,453757,vericoin,vericoin
173,,,,,,,,,,,,,,,,,2014/11/20,35,409657,vericoin,vericoin
174,,,,,,,,,,,,,,,,,2014/11/21,18,389365,vericoin,vericoin
175,,,,,,,,,,,,,,,,,2014/11/22,21,389737,vericoin,vericoin
176,,,,,,,,,,,,,,,,,2014/11/23,12,397522,vericoin,vericoin
177,,,,,,,,,,,,,,,,,2014/11/24,22,406971,vericoin,vericoin
178,,,,,,,,,,,,,,,,,2014/11/25,15,427516,vericoin,vericoin
179,,,,,,,,,,,,,,,,,2014/11/26,39,444621,vericoin,vericoin
