,date,transactions,sent_addresses,block_size,median_transaction_value,confirmation_time,hashrate,market_cap,av_transaction_value,av_transaction_size,mining_profitability,active_addresses,fee_reward,send_usd,top_100_percent,difficulty,google_trends,median_transaction_size,tweets,full_name,coin
146,2009/05/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
147,2009/05/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
148,2009/05/31,,,,,,,,,,,,,,,,,,,bitstar,bitstar
149,2009/06/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
150,2009/06/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
151,2009/06/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
152,2009/06/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
153,2009/06/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
154,2009/06/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
155,2009/06/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
156,2009/06/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
157,2009/06/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
158,2009/06/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
159,2009/06/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
160,2009/06/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
161,2009/06/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
162,2009/06/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
163,2009/06/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
164,2009/06/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
165,2009/06/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
166,2009/06/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
167,2009/06/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
168,2009/06/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
169,2009/06/21,,,,,,,,,,,,,,,,,,,bitstar,bitstar
170,2009/06/22,,,,,,,,,,,,,,,,,,,bitstar,bitstar
171,2009/06/23,,,,,,,,,,,,,,,,,,,bitstar,bitstar
172,2009/06/24,,,,,,,,,,,,,,,,,,,bitstar,bitstar
173,2009/06/25,,,,,,,,,,,,,,,,,,,bitstar,bitstar
174,2009/06/26,,,,,,,,,,,,,,,,,,,bitstar,bitstar
175,2009/06/27,,,,,,,,,,,,,,,,,,,bitstar,bitstar
176,2009/06/28,,,,,,,,,,,,,,,,,,,bitstar,bitstar
177,2009/06/29,,,,,,,,,,,,,,,,,,,bitstar,bitstar
178,2009/06/30,,,,,,,,,,,,,,,,,,,bitstar,bitstar
179,2009/07/01,,,,,,,,,,,,,,,,,,,bitstar,bitstar
180,2009/07/02,,,,,,,,,,,,,,,,,,,bitstar,bitstar
181,2009/07/03,,,,,,,,,,,,,,,,,,,bitstar,bitstar
182,2009/07/04,,,,,,,,,,,,,,,,,,,bitstar,bitstar
183,2009/07/05,,,,,,,,,,,,,,,,,,,bitstar,bitstar
184,2009/07/06,,,,,,,,,,,,,,,,,,,bitstar,bitstar
185,2009/07/07,,,,,,,,,,,,,,,,,,,bitstar,bitstar
186,2009/07/08,,,,,,,,,,,,,,,,,,,bitstar,bitstar
187,2009/07/09,,,,,,,,,,,,,,,,,,,bitstar,bitstar
188,2009/07/10,,,,,,,,,,,,,,,,,,,bitstar,bitstar
189,2009/07/11,,,,,,,,,,,,,,,,,,,bitstar,bitstar
190,2009/07/12,,,,,,,,,,,,,,,,,,,bitstar,bitstar
191,2009/07/13,,,,,,,,,,,,,,,,,,,bitstar,bitstar
192,2009/07/14,,,,,,,,,,,,,,,,,,,bitstar,bitstar
193,2009/07/15,,,,,,,,,,,,,,,,,,,bitstar,bitstar
194,2009/07/16,,,,,,,,,,,,,,,,,,,bitstar,bitstar
195,2009/07/17,,,,,,,,,,,,,,,,,,,bitstar,bitstar
196,2009/07/18,,,,,,,,,,,,,,,,,,,bitstar,bitstar
197,2009/07/19,,,,,,,,,,,,,,,,,,,bitstar,bitstar
198,2009/07/20,,,,,,,,,,,,,,,,,,,bitstar,bitstar
