,date,block_size,sent_addresses,fee_reward,difficulty,median_transaction_value,google_trends,av_transaction_value,send_usd,top_100_percent,confirmation_time,median_transaction_size,mining_profitability,active_addresses,hashrate,market_cap,transactions,tweets,av_transaction_size,full_name,coin
186,2009/07/08,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
187,2009/07/09,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
188,2009/07/10,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
189,2009/07/11,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
190,2009/07/12,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
191,2009/07/13,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
192,2009/07/14,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
193,2009/07/15,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
194,2009/07/16,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
195,2009/07/17,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
196,2009/07/18,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
197,2009/07/19,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
198,2009/07/20,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
199,2009/07/21,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
200,2009/07/22,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
201,2009/07/23,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
202,2009/07/24,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
203,2009/07/25,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
204,2009/07/26,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
205,2009/07/27,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
206,2009/07/28,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
207,2009/07/29,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
208,2009/07/30,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
209,2009/07/31,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
210,2009/08/01,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
211,2009/08/02,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
212,2009/08/03,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
213,2009/08/04,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
214,2009/08/05,,,,,,,,,,,,,,,,,,,jackpotcoin,jackpotcoin
