,date,market_cap,difficulty,active_addresses,sent_addresses,av_transaction_size,transactions,median_transaction_size,confirmation_time,top_100_percent,av_transaction_value,median_transaction_value,fee_reward,send_usd,google_trends,tweets,block_size,mining_profitability,hashrate,full_name,coin
258,2011/04/01,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
259,2011/04/02,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
260,2011/04/03,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
261,2011/04/04,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
262,2011/04/05,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
263,2011/04/06,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
264,2011/04/07,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
265,2011/04/08,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
266,2011/04/09,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
267,2011/04/10,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
268,2011/04/11,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
269,2011/04/12,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
270,2011/04/13,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
271,2011/04/14,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
272,2011/04/15,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
273,2011/04/16,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
274,2011/04/17,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
275,2011/04/18,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
276,2011/04/19,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
277,2011/04/20,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
278,2011/04/21,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
279,2011/04/22,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
280,2011/04/23,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
281,2011/04/24,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
282,2011/04/25,,,,,,,,,,,,,,,,,,,shadowcoin,shadowcoin
