,date,sent_addresses,transactions,confirmation_time,block_size,av_transaction_size,market_cap,median_transaction_size,mining_profitability,hashrate,send_usd,top_100_percent,median_transaction_value,google_trends,av_transaction_value,fee_reward,difficulty,tweets,active_addresses,full_name,coin
158,2009/06/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
159,2009/06/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
160,2009/06/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
161,2009/06/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
162,2009/06/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
163,2009/06/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
164,2009/06/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
165,2009/06/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
166,2009/06/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
167,2009/06/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
168,2009/06/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
169,2009/06/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
170,2009/06/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
171,2009/06/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
172,2009/06/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
173,2009/07/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
174,2009/07/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
175,2009/07/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
176,2009/07/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
177,2009/07/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
178,2009/07/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
179,2009/07/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
180,2009/07/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
181,2009/07/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
182,2009/07/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
183,2009/07/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
184,2009/07/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
185,2009/07/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
186,2009/07/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
187,2009/07/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
188,2009/07/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
189,2009/07/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
190,2009/07/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
191,2009/07/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
192,2009/07/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
193,2009/07/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
194,2009/07/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
195,2009/07/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
196,2009/07/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
197,2009/07/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
198,2009/07/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
199,2009/07/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
200,2009/07/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
201,2009/07/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
202,2009/07/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
203,2009/07/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
204,2009/08/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
205,2009/08/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
206,2009/08/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
207,2009/08/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
208,2009/08/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
209,2009/08/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
210,2009/08/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
211,2009/08/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
212,2009/08/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
213,2009/08/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
214,2009/08/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
215,2009/08/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
216,2009/08/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
217,2009/08/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
218,2009/08/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
219,2009/08/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
220,2009/08/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
221,2009/08/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
222,2009/08/19,,,,,,,,,,,,,,,,,,,iconomi,iconomi
223,2009/08/20,,,,,,,,,,,,,,,,,,,iconomi,iconomi
224,2009/08/21,,,,,,,,,,,,,,,,,,,iconomi,iconomi
225,2009/08/22,,,,,,,,,,,,,,,,,,,iconomi,iconomi
226,2009/08/23,,,,,,,,,,,,,,,,,,,iconomi,iconomi
227,2009/08/24,,,,,,,,,,,,,,,,,,,iconomi,iconomi
228,2009/08/25,,,,,,,,,,,,,,,,,,,iconomi,iconomi
229,2009/08/26,,,,,,,,,,,,,,,,,,,iconomi,iconomi
230,2009/08/27,,,,,,,,,,,,,,,,,,,iconomi,iconomi
231,2009/08/28,,,,,,,,,,,,,,,,,,,iconomi,iconomi
232,2009/08/29,,,,,,,,,,,,,,,,,,,iconomi,iconomi
233,2009/08/30,,,,,,,,,,,,,,,,,,,iconomi,iconomi
234,2009/08/31,,,,,,,,,,,,,,,,,,,iconomi,iconomi
235,2009/09/01,,,,,,,,,,,,,,,,,,,iconomi,iconomi
236,2009/09/02,,,,,,,,,,,,,,,,,,,iconomi,iconomi
237,2009/09/03,,,,,,,,,,,,,,,,,,,iconomi,iconomi
238,2009/09/04,,,,,,,,,,,,,,,,,,,iconomi,iconomi
239,2009/09/05,,,,,,,,,,,,,,,,,,,iconomi,iconomi
240,2009/09/06,,,,,,,,,,,,,,,,,,,iconomi,iconomi
241,2009/09/07,,,,,,,,,,,,,,,,,,,iconomi,iconomi
242,2009/09/08,,,,,,,,,,,,,,,,,,,iconomi,iconomi
243,2009/09/09,,,,,,,,,,,,,,,,,,,iconomi,iconomi
244,2009/09/10,,,,,,,,,,,,,,,,,,,iconomi,iconomi
245,2009/09/11,,,,,,,,,,,,,,,,,,,iconomi,iconomi
246,2009/09/12,,,,,,,,,,,,,,,,,,,iconomi,iconomi
247,2009/09/13,,,,,,,,,,,,,,,,,,,iconomi,iconomi
248,2009/09/14,,,,,,,,,,,,,,,,,,,iconomi,iconomi
249,2009/09/15,,,,,,,,,,,,,,,,,,,iconomi,iconomi
250,2009/09/16,,,,,,,,,,,,,,,,,,,iconomi,iconomi
251,2009/09/17,,,,,,,,,,,,,,,,,,,iconomi,iconomi
252,2009/09/18,,,,,,,,,,,,,,,,,,,iconomi,iconomi
