,date,sent_addresses,difficulty,av_transaction_value,median_transaction_value,av_transaction_size,transactions,mining_profitability,send_usd,market_cap,active_addresses,confirmation_time,block_size,median_transaction_size,tweets,top_100_percent,hashrate,google_trends,fee_reward,full_name,coin
132,2014/04/19,32968,980.141,486.722,18.559,,22141,3223,10601351,44661458,,1.07,10559,,3108,,65496359991,1.231,,dogecoin,doge
133,2014/04/20,29540,930.174,271.974,11.688,,20265,2714,5472658,44823073,,1.057,8715,,3774,,63129520479,1.098,,dogecoin,doge
134,2014/04/21,33122,939.661,156.602,6.882,,23936,3155,3735473,43443301,,1.068,10301,,5148,,64074919014,0.961,,dogecoin,doge
135,2014/04/22,30293,1014,246.35,10.406,,21379,2470,5228088,41563190,,1.074,11239,,4331,,68044368922,1.009,,dogecoin,doge
136,2014/04/23,30101,1011,361.382,8.239,,20149,2520,7207658,40224290,,1.07,9198,,4642,,68033755003,0.852,,dogecoin,doge
137,2014/04/24,30227,1016,227.033,10.552,,20456,2724,4614054,40763278,,1.092,10016,,4607,,67919602396,1.018,,dogecoin,doge
138,2014/04/25,29232,1030,603.341,8.605,,19832,2402,11835855,35876601,,1.067,8573,,5147,,68738689212,1.162,,dogecoin,doge
139,2014/04/26,28937,1064,295.59,4.625,,20343,2320,5963370,34261390,,1.088,9640,,5020,,71276820120,1.146,,dogecoin,doge
140,2014/04/27,25051,1179,229.793,9.58,,16248,1998,3539546,33244811,,1.103,12588,,3615,,77959944583,2.066,,dogecoin,doge
141,2014/04/28,27731,1006,375.333,9.281,,18640,1890,6939163,34685427,,1.066,11033,,5502,,66344429737,2.113,,dogecoin,doge
142,2014/04/29,25510,745.041,261.949,8.154,,16965,1668,4276912,36514086,,1.067,7501,,5031,,50454990943,1.869,,dogecoin,doge
143,2014/04/30,24731,777.255,308.588,7.882,,16662,1600,5126399,37029311,,1.071,7133,,4931,,52564159459,1.57,,dogecoin,doge
144,2014/05/01,22662,788.361,274.217,6.855,,15173,1589,4150566,37732347,,1.071,6751,,4727,,53691043132,1.515,,dogecoin,doge
145,2014/05/02,23223,796.979,258.477,7.285,,15922,1543,4112145,36196790,,1.101,6950,,5180,,52317787677,1.293,,dogecoin,doge
146,2014/05/03,22228,816.526,270.743,7.444,,15082,1448,4080247,34508797,,1.079,6429,,6500,,54162797837,1.712,,dogecoin,doge
147,2014/05/04,24675,806.627,261.015,6.385,,16809,1411,4366948,34842247,,1.108,6895,,7787,,53423241905,3.568,,dogecoin,doge
148,2014/05/05,25123,777.85,216.145,5.272,,17105,1459,3689110,33936695,,1.094,7959,,6189,,51183568435,4.019,,dogecoin,doge
149,2014/05/06,24083,749.855,226.206,5.27,,16449,1549,3670772,33858390,,1.053,7132,,5396,,49706732615,3.221,,dogecoin,doge
150,2014/05/07,23825,754.264,223.644,5.466,,17034,1484,3801733,34765526,,1.084,7637,,4948,,51710368250,1.701,,dogecoin,doge
