,date,sent_addresses,send_usd,difficulty,top_100_percent,block_size,median_transaction_value,av_transaction_size,median_transaction_size,confirmation_time,market_cap,hashrate,transactions,fee_reward,mining_profitability,active_addresses,google_trends,av_transaction_value,tweets,full_name,coin
152,2009/06/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
153,2009/06/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
154,2009/06/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
155,2009/06/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
156,2009/06/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
157,2009/06/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
158,2009/06/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
159,2009/06/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
160,2009/06/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
161,2009/06/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
162,2009/06/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
163,2009/06/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
164,2009/06/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
165,2009/06/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
166,2009/06/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
167,2009/06/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
168,2009/06/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
169,2009/06/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
170,2009/06/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
171,2009/06/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
172,2009/06/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
173,2009/07/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
174,2009/07/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
175,2009/07/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
176,2009/07/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
177,2009/07/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
178,2009/07/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
179,2009/07/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
180,2009/07/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
181,2009/07/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
182,2009/07/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
183,2009/07/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
184,2009/07/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
185,2009/07/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
186,2009/07/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
187,2009/07/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
188,2009/07/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
189,2009/07/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
190,2009/07/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
191,2009/07/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
192,2009/07/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
193,2009/07/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
194,2009/07/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
195,2009/07/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
196,2009/07/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
197,2009/07/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
198,2009/07/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
199,2009/07/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
200,2009/07/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
201,2009/07/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
202,2009/07/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
203,2009/07/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
204,2009/08/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
205,2009/08/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
206,2009/08/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
207,2009/08/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
208,2009/08/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
209,2009/08/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
210,2009/08/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
211,2009/08/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
212,2009/08/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
213,2009/08/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
214,2009/08/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
215,2009/08/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
216,2009/08/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
217,2009/08/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
218,2009/08/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
219,2009/08/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
220,2009/08/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
221,2009/08/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
222,2009/08/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
223,2009/08/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
224,2009/08/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
225,2009/08/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
226,2009/08/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
227,2009/08/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
228,2009/08/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
229,2009/08/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
230,2009/08/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
231,2009/08/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
232,2009/08/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
233,2009/08/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
234,2009/08/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
235,2009/09/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
236,2009/09/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
237,2009/09/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
238,2009/09/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
239,2009/09/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
240,2009/09/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
241,2009/09/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
242,2009/09/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
243,2009/09/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
244,2009/09/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
245,2009/09/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
246,2009/09/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
247,2009/09/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
248,2009/09/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
249,2009/09/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
250,2009/09/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
251,2009/09/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
252,2009/09/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
253,2009/09/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
254,2009/09/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
255,2009/09/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
256,2009/09/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
257,2009/09/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
258,2009/09/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
259,2009/09/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
260,2009/09/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
261,2009/09/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
262,2009/09/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
263,2009/09/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
264,2009/09/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
265,2009/10/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
266,2009/10/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
267,2009/10/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
268,2009/10/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
269,2009/10/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
270,2009/10/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
271,2009/10/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
272,2009/10/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
273,2009/10/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
274,2009/10/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
275,2009/10/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
276,2009/10/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
277,2009/10/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
278,2009/10/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
279,2009/10/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
280,2009/10/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
281,2009/10/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
282,2009/10/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
283,2009/10/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
284,2009/10/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
285,2009/10/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
286,2009/10/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
287,2009/10/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
288,2009/10/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
289,2009/10/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
290,2009/10/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
291,2009/10/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
292,2009/10/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
293,2009/10/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
294,2009/10/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
295,2009/10/31,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
296,2009/11/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
297,2009/11/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
298,2009/11/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
299,2009/11/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
300,2009/11/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
301,2009/11/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
302,2009/11/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
303,2009/11/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
304,2009/11/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
305,2009/11/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
306,2009/11/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
307,2009/11/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
308,2009/11/13,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
309,2009/11/14,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
310,2009/11/15,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
311,2009/11/16,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
312,2009/11/17,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
313,2009/11/18,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
314,2009/11/19,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
315,2009/11/20,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
316,2009/11/21,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
317,2009/11/22,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
318,2009/11/23,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
319,2009/11/24,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
320,2009/11/25,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
321,2009/11/26,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
322,2009/11/27,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
323,2009/11/28,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
324,2009/11/29,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
325,2009/11/30,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
326,2009/12/01,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
327,2009/12/02,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
328,2009/12/03,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
329,2009/12/04,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
330,2009/12/05,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
331,2009/12/06,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
332,2009/12/07,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
333,2009/12/08,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
334,2009/12/09,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
335,2009/12/10,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
336,2009/12/11,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
337,2009/12/12,,,,,,,,,,,,,,,,,,,badgercoin,badgercoin
