,block_size,transactions,hashrate,mining_profitability,median_transaction_size,send_usd,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,market_cap,av_transaction_size,sent_addresses,difficulty,tweets,google_trends,full_name,coin
185,,,,,,,,,,,,,2014/10/12,,,,,null,,execoin,execoin
186,,,,,,,,,,,,,2014/10/13,,,,,null,,execoin,execoin
187,,,,,,,,,,,,,2014/10/14,,,,,null,,execoin,execoin
188,,,,,,,,,,,,,2014/10/15,,,,,null,,execoin,execoin
189,,,,,,,,,,,,,2014/10/16,,,,,null,,execoin,execoin
190,,,,,,,,,,,,,2014/10/17,,,,,null,,execoin,execoin
191,,,,,,,,,,,,,2014/10/18,,,,,null,,execoin,execoin
192,,,,,,,,,,,,,2014/10/19,,,,,null,,execoin,execoin
193,,,,,,,,,,,,,2014/10/20,,,,,null,,execoin,execoin
194,,,,,,,,,,,,,2014/10/21,,,,,null,,execoin,execoin
195,,,,,,,,,,,,,2014/10/22,,,,,null,,execoin,execoin
196,,,,,,,,,,,,,2014/10/23,,,,,null,,execoin,execoin
197,,,,,,,,,,,,,2014/10/24,,,,,null,,execoin,execoin
198,,,,,,,,,,,,,2014/10/25,,,,,null,,execoin,execoin
199,,,,,,,,,,,,,2014/10/26,,,,,null,,execoin,execoin
200,,,,,,,,,,,,,2014/10/27,,,,,2,,execoin,execoin
201,,,,,,,,,,,,,2014/10/28,,,,,null,,execoin,execoin
202,,,,,,,,,,,,,2014/10/29,,,,,null,,execoin,execoin
203,,,,,,,,,,,,,2014/10/30,,,,,null,,execoin,execoin
204,,,,,,,,,,,,,2014/10/31,,,,,null,,execoin,execoin
205,,,,,,,,,,,,,2014/11/01,,,,,null,,execoin,execoin
206,,,,,,,,,,,,,2014/11/02,,,,,null,,execoin,execoin
207,,,,,,,,,,,,,2014/11/03,,,,,null,,execoin,execoin
208,,,,,,,,,,,,,2014/11/04,,,,,null,,execoin,execoin
209,,,,,,,,,,,,,2014/11/05,,,,,null,,execoin,execoin
210,,,,,,,,,,,,,2014/11/06,,,,,null,,execoin,execoin
211,,,,,,,,,,,,,2014/11/07,,,,,null,,execoin,execoin
212,,,,,,,,,,,,,2014/11/08,,,,,null,,execoin,execoin
213,,,,,,,,,,,,,2014/11/09,,,,,null,,execoin,execoin
214,,,,,,,,,,,,,2014/11/10,,,,,null,,execoin,execoin
215,,,,,,,,,,,,,2014/11/11,,,,,null,,execoin,execoin
216,,,,,,,,,,,,,2014/11/12,,,,,null,,execoin,execoin
217,,,,,,,,,,,,,2014/11/13,,,,,null,,execoin,execoin
218,,,,,,,,,,,,,2014/11/14,,,,,null,,execoin,execoin
219,,,,,,,,,,,,,2014/11/15,,,,,null,,execoin,execoin
220,,,,,,,,,,,,,2014/11/16,,,,,null,,execoin,execoin
221,,,,,,,,,,,,,2014/11/17,,,,,null,,execoin,execoin
222,,,,,,,,,,,,,2014/11/18,,,,,1,,execoin,execoin
223,,,,,,,,,,,,,2014/11/19,,,,,null,,execoin,execoin
224,,,,,,,,,,,,,2014/11/20,,,,,null,,execoin,execoin
225,,,,,,,,,,,,,2014/11/21,,,,,null,,execoin,execoin
226,,,,,,,,,,,,,2014/11/22,,,,,null,,execoin,execoin
227,,,,,,,,,,,,,2014/11/23,,,,,null,,execoin,execoin
228,,,,,,,,,,,,,2014/11/24,,,,,null,,execoin,execoin
229,,,,,,,,,,,,,2014/11/25,,,,,null,,execoin,execoin
230,,,,,,,,,,,,,2014/11/26,,,,,null,,execoin,execoin
231,,,,,,,,,,,,,2014/11/27,,,,,null,,execoin,execoin
232,,,,,,,,,,,,,2014/11/28,,,,,null,,execoin,execoin
233,,,,,,,,,,,,,2014/11/29,,,,,null,,execoin,execoin
234,,,,,,,,,,,,,2014/11/30,,,,,null,,execoin,execoin
235,,,,,,,,,,,,,2014/12/01,,,,,null,,execoin,execoin
236,,,,,,,,,,,,,2014/12/02,,,,,null,,execoin,execoin
237,,,,,,,,,,,,,2014/12/03,,,,,null,,execoin,execoin
238,,,,,,,,,,,,,2014/12/04,,,,,null,,execoin,execoin
239,,,,,,,,,,,,,2014/12/05,,,,,1,,execoin,execoin
240,,,,,,,,,,,,,2014/12/06,,,,,null,,execoin,execoin
241,,,,,,,,,,,,,2014/12/07,,,,,null,,execoin,execoin
242,,,,,,,,,,,,,2014/12/08,,,,,null,,execoin,execoin
