,transactions,fee_reward,sent_addresses,block_size,hashrate,median_transaction_size,av_transaction_value,date,tweets,top_100_percent,mining_profitability,difficulty,send_usd,av_transaction_size,google_trends,confirmation_time,median_transaction_value,active_addresses,market_cap,full_name,coin
136,,,,,,,,2014/12/04,17,,,,,,,,,,457878,viacoin,viacoin
137,,,,,,,,2014/12/05,13,,,,,,,,,,420971,viacoin,viacoin
138,,,,,,,,2014/12/06,15,,,,,,,,,,433673,viacoin,viacoin
139,,,,,,,,2014/12/07,5,,,,,,,,,,524040,viacoin,viacoin
140,,,,,,,,2014/12/08,2,,,,,,,,,,509444,viacoin,viacoin
141,,,,,,,,2014/12/09,53,,,,,,,,,,470160,viacoin,viacoin
142,,,,,,,,2014/12/10,null,,,,,,,,,,433694,viacoin,viacoin
143,,,,,,,,2014/12/11,1,,,,,,,,,,437197,viacoin,viacoin
144,,,,,,,,2014/12/12,1,,,,,,,,,,417994,viacoin,viacoin
145,,,,,,,,2014/12/13,1,,,,,,,,,,408038,viacoin,viacoin
146,,,,,,,,2014/12/14,null,,,,,,,,,,412536,viacoin,viacoin
147,,,,,,,,2014/12/15,2,,,,,,,,,,410508,viacoin,viacoin
148,,,,,,,,2014/12/16,1,,,,,,,,,,407751,viacoin,viacoin
149,,,,,,,,2014/12/17,2,,,,,,,,,,393873,viacoin,viacoin
150,,,,,,,,2014/12/18,3,,,,,,,,,,378172,viacoin,viacoin
151,,,,,,,,2014/12/19,14,,,,,,,,,,378806,viacoin,viacoin
152,,,,,,,,2014/12/20,9,,,,,,,,,,399537,viacoin,viacoin
153,,,,,,,,2014/12/21,2,,,,,,,,,,391097,viacoin,viacoin
154,,,,,,,,2014/12/22,25,,,,,,,,,,401651,viacoin,viacoin
155,,,,,,,,2014/12/23,4,,,,,,,,,,406861,viacoin,viacoin
156,,,,,,,,2014/12/24,3,,,,,,,,,,401973,viacoin,viacoin
157,,,,,,,,2014/12/25,4,,,,,,,,,,430657,viacoin,viacoin
158,,,,,,,,2014/12/26,4,,,,,,,,,,436425,viacoin,viacoin
159,,,,,,,,2014/12/27,3,,,,,,,,,,489858,viacoin,viacoin
160,,,,,,,,2014/12/28,19,,,,,,,,,,524264,viacoin,viacoin
