,transactions,difficulty,sent_addresses,hashrate,av_transaction_size,mining_profitability,send_usd,median_transaction_size,confirmation_time,av_transaction_value,median_transaction_value,active_addresses,fee_reward,top_100_percent,date,tweets,block_size,google_trends,market_cap,full_name,coin
180,,,,,,,,,,,,,,,2014/10/06,null,,,,einsteinium,einsteinium
181,,,,,,,,,,,,,,,2014/10/07,null,,,,einsteinium,einsteinium
182,,,,,,,,,,,,,,,2014/10/08,2,,,,einsteinium,einsteinium
183,,,,,,,,,,,,,,,2014/10/09,null,,,,einsteinium,einsteinium
184,,,,,,,,,,,,,,,2014/10/10,3,,,,einsteinium,einsteinium
185,,,,,,,,,,,,,,,2014/10/11,null,,,,einsteinium,einsteinium
186,,,,,,,,,,,,,,,2014/10/12,null,,,,einsteinium,einsteinium
187,,,,,,,,,,,,,,,2014/10/13,null,,,,einsteinium,einsteinium
188,,,,,,,,,,,,,,,2014/10/14,null,,,,einsteinium,einsteinium
189,,,,,,,,,,,,,,,2014/10/15,4,,,,einsteinium,einsteinium
190,,,,,,,,,,,,,,,2014/10/16,null,,,,einsteinium,einsteinium
191,,,,,,,,,,,,,,,2014/10/17,null,,,,einsteinium,einsteinium
192,,,,,,,,,,,,,,,2014/10/18,null,,,,einsteinium,einsteinium
193,,,,,,,,,,,,,,,2014/10/19,null,,,,einsteinium,einsteinium
194,,,,,,,,,,,,,,,2014/10/20,null,,,,einsteinium,einsteinium
195,,,,,,,,,,,,,,,2014/10/21,null,,,,einsteinium,einsteinium
196,,,,,,,,,,,,,,,2014/10/22,null,,,,einsteinium,einsteinium
197,,,,,,,,,,,,,,,2014/10/23,null,,,,einsteinium,einsteinium
198,,,,,,,,,,,,,,,2014/10/24,null,,,,einsteinium,einsteinium
199,,,,,,,,,,,,,,,2014/10/25,null,,,,einsteinium,einsteinium
200,,,,,,,,,,,,,,,2014/10/26,null,,,,einsteinium,einsteinium
201,,,,,,,,,,,,,,,2014/10/27,null,,,,einsteinium,einsteinium
202,,,,,,,,,,,,,,,2014/10/28,null,,,,einsteinium,einsteinium
203,,,,,,,,,,,,,,,2014/10/29,null,,,,einsteinium,einsteinium
204,,,,,,,,,,,,,,,2014/10/30,null,,,,einsteinium,einsteinium
